name,city,completion_year,height,floors,material,function
Burj Khalifa,Dubai,2010,828 m,163,steel/concrete,office / residential / hotel
Shanghai Tower,Shanghai,2015,632 m,128,composite,hotel / office
Makkah Royal Clock Tower,Mecca,2012,601 m,120,steel/concrete,hotel / residential / retail
Ping An Finance Center,Shenzhen,2017,599.1 m,115,composite,office
Lotte World Tower,Seoul,2017,554.5 m,123,composite,hotel / residential / office / retail
One World Trade Center,New York City,2014,541.3 m,94,composite,office
Guangzhou CTF Finance Centre,Guangzhou,2016,530 m,111,composite,hotel / residential / office
Tianjin CTF Finance Centre,Tianjin,2019,530 m,97,composite,hotel / serviced apartments / office
CITIC Tower,Beijing,2018,527.7 m,109,composite,office
TAIPEI 101,Taipei,2004,508 m,101,composite,office
Shanghai World Financial Center,Shanghai,2008,492 m,101,composite,hotel / office
International Commerce Centre,Hong Kong,2010,484 m,108,composite,hotel / office
Central Park Tower,New York City,2020,472.4 m,98,concrete,residential
Lakhta Center,St. Petersburg,2019,462 m,87,composite,office
Vincom Landmark 81,Ho Chi Minh City,2018,461.2 m,81,composite,hotel / residential
Changsha IFS Tower T1,Changsha,2018,452.1 m,94,composite,hotel / office
Petronas Twin Tower 1,Kuala Lumpur,1998,451.9 m,88,composite,office
Petronas Twin Tower 2,Kuala Lumpur,1998,451.9 m,88,composite,office
Suzhou IFS,Suzhou,2019,450 m,95,composite,hotel / office / serviced apartments
Zifeng Tower,Nanjing,2010,450 m,66,composite,hotel / office
The Exchange 106,Kuala Lumpur,2019,445.5 m,95,composite,office
Wuhan Center Tower,Wuhan,2019,443.1 m,88,composite,hotel / residential / office
Willis Tower,Chicago,1974,442.1 m,108,steel,office
KK100,Shenzhen,2011,441.8 m,98,composite,hotel / office
Guangzhou International Finance Center,Guangzhou,2010,438.6 m,103,composite,hotel / office
111 West 57th Street,New York City,2021,435.3 m,84,steel/concrete,residential
One Vanderbilt Avenue,New York City,2020,427 m,62,composite,office
432 Park Avenue,New York City,2015,425.7 m,85,concrete,residential
Marina 101,Dubai,2017,425 m,101,concrete,residential / hotel
Trump International Hotel & Tower,Chicago,2009,423.2 m,98,concrete,residential / hotel
Minying International Trade Center T2,Dongguan,2021,422.6 m,85,composite,office
Jin Mao Tower,Shanghai,1999,420.5 m,88,composite,hotel / office
Princess Tower,Dubai,2012,413.4 m,101,steel/concrete,residential
Al Hamra Tower,Kuwait City,2011,412.6 m,80,concrete,office
Two International Finance Centre,Hong Kong,2003,412 m,88,composite,office
LCT The Sharp Landmark Tower,Busan,2019,411.6 m,101,concrete,hotel / residential
Guangxi China Resources Tower,Nanning,2020,402.7 m,86,composite,hotel / office
Guiyang International Financial Center T1,Guiyang,2020,401 m,79,composite,hotel / office
China Resources Tower,Shenzhen,2018,392.5 m,68,composite,office
23 Marina,Dubai,2012,392.4 m,88,concrete,residential
CITIC Plaza,Guangzhou,1996,390.2 m,80,composite,office
Shum Yip Upperhills Tower 1,Shenzhen,2020,388.1 m,80,composite,hotel / office
30 Hudson Yards,New York City,2019,387.1 m,73,steel,office
PIF Tower,Riyadh,2021,385 m,72,composite,office
Shun Hing Square,Shenzhen,1996,384 m,69,composite,office
Eton Place Dalian Tower 1,Dalian,2016,383.2 m,80,composite,hotel / office
Nanning Logan Century 1,Nanning,2018,381.3 m,82,composite,hotel / office
Burj Mohammed Bin Rashid,Abu Dhabi,2014,381.2 m,88,concrete,residential
Empire State Building,New York City,1931,381 m,102,steel,office
Elite Residence,Dubai,2012,380.5 m,87,concrete,residential
1 Corporate Avenue,Wuhan,2021,376 m,73,composite,office
Dabaihui Plaza,Shenzhen,2021,375.6 m,70,composite,residential / office
Central Plaza,Hong Kong,1992,373.9 m,78,concrete,office
Federation Tower,Moscow,2016,373.7 m,93,concrete,residential / office
Dalian International Trade Center,Dalian,2019,370.2 m,86,composite,residential / office
The Address Boulevard,Dubai,2017,370 m,73,concrete,residential / hotel / retail
Qingdao Hai Tian Center,Qingdao,2021,368.9 m,73,composite,hotel / office
Golden Eagle Tiandi Tower A,Nanjing,2019,368.1 m,77,composite,hotel / office
Bank of China Tower,Hong Kong,1990,367.4 m,72,composite,office
Bank of America Tower,New York City,2009,365.8 m,55,composite,office
The St. Regis Chicago,Chicago,2020,362.9 m,92,concrete,residential / hotel
Almas Tower,Dubai,2008,360 m,68,concrete,office
Hanking Center,Shenzhen,2018,358.9 m,65,composite,office
Gevora Hotel,Dubai,2017,356.3 m,75,steel/concrete,hotel
JW Marriott Marquis Hotel Dubai Tower 1,Dubai,2012,355.4 m,82,concrete,hotel
JW Marriott Marquis Hotel Dubai Tower 2,Dubai,2013,355.4 m,82,concrete,hotel
Emirates Tower One,Dubai,2000,354.6 m,54,composite,office
Raffles City Chongqing T3N,Chongqing,2019,354.5 m,79,composite,residential / retail
Raffles City Chongqing T4N,Chongqing,2019,354.5 m,74,composite,hotel / office / retail
OKO - Residential Tower,Moscow,2015,354.2 m,90,concrete,residential / serviced apartments / hotel
The Torch,Dubai,2011,352 m,86,concrete,residential
Forum 66 Tower 1,Shenyang,2015,350.6 m,68,composite,hotel / office
The Pinnacle,Guangzhou,2012,350.3 m,60,concrete,office
Spring City 66,Kunming,2019,349 m,61,composite,office
85 Sky Tower,Kaohsiung,1997,347.5 m,85,steel,hotel / office / retail
Shimao Hunan Center,Changsha,2019,347 m,N/A,composite,office
Aon Center,Chicago,1973,346.3 m,83,steel,office
The Center,Hong Kong,1998,346 m,73,steel,office
NEVA TOWERS 2,Moscow,2020,345 m,79,concrete,residential
875 North Michigan Avenue,Chicago,1969,343.7 m,100,steel,residential / office
Four Seasons Place,Kuala Lumpur,2018,342.5 m,74,concrete,residential / hotel
ADNOC Headquarters,Abu Dhabi,2015,342 m,65,concrete,office
One Shenzhen Bay Tower 7,Shenzhen,2018,341.4 m,71,composite,residential / hotel / office
